source_node,target_node,relationship_type
"ReasoningPath_028","anti-QE logic","THEMATICALLY_LINKED"
"ReasoningPath_028","central bank tool","THEMATICALLY_LINKED"
"ReasoningPath_028","fiscal dominance","THEMATICALLY_LINKED"
"ReasoningPath_028","fiscal mechanics","THEMATICALLY_LINKED"
"ReasoningPath_028","liquidity discipline","THEMATICALLY_LINKED"
"ReasoningPath_028","macro profit logic","THEMATICALLY_LINKED"
"ReasoningPath_028","policy overdrive","THEMATICALLY_LINKED"
"ReasoningPath_028","sovereign fragility","THEMATICALLY_LINKED"
"ReasoningPath_030","IPO euphoria","THEMATICALLY_LINKED"
"ReasoningPath_030","asset inflation","THEMATICALLY_LINKED"
"ReasoningPath_030","credit distortion","THEMATICALLY_LINKED"
"ReasoningPath_030","inequality expansion","THEMATICALLY_LINKED"
"ReasoningPath_030","monetary illusion","THEMATICALLY_LINKED"
"ReasoningPath_030","valuation collapse","THEMATICALLY_LINKED"
"ReasoningPath_032","FX reserve paradox","THEMATICALLY_LINKED"
"ReasoningPath_032","sovereign fragility","THEMATICALLY_LINKED"
"ReasoningPath_033","behavioral panic","THEMATICALLY_LINKED"
"ReasoningPath_033","volatility spike","THEMATICALLY_LINKED"
"Triffin Dilemma","FX reserve paradox","TAGGED_WITH"
"Triffin Dilemma","ReasoningPath_028","INFORMS"
"Triffin Dilemma","ReasoningPath_032","INFORMS"
"Triffin Dilemma","sovereign fragility","TAGGED_WITH"
