name,description,layer
Stranded Asset Risk Awareness,"Investor realization that fossil-based assets may lose value due to regulatory, technological, or demand changes.",Cognitive-Agentic Layer
Green Bond Market Surge,"Rapid issuance of bonds financing renewable infrastructure, low-emission tech, and sustainable assets.",Market Condition Layer
ESG Ratings Divergence,Inconsistencies and opacity in ESG rating systems influencing capital flows and policy decisions.,Feedback Layer
COVID Economic Shock (2020),"Global economic crisis triggered by the COVID-19 pandemic, causing supply-chain disruptions, lockdowns, and demand collapse.",Historical Layer
Global Lockdowns,Nationwide quarantines and travel bans imposed to contain the virus.,Market Condition Layer
Supply Chain Disruptions,Delays and shortages caused by halted manufacturing and transport.,Market Condition Layer
Unemployment Spike (2020),Mass layoffs and furloughs resulting from business shutdowns.,Market Condition Layer
Monetary Easing Blitz,Central banks slashed rates and launched liquidity programs.,Systemic Reform Layer
Fiscal Stimulus Packages,Massive government spending to support households and businesses.,Systemic Reform Layer
Remote Work Acceleration,Rapid shift to digital-first work environments.,Cognitive-Agentic Layer
Stock Market Crash (March 2020),Rapid global equity sell-off due to pandemic uncertainty.,Historical Layer
Recovery K-Shape,Divergent rebound where tech and capital markets surged while labor recovery lagged.,Feedback Layer
Vaccine Development Race,Global biotech effort to develop effective COVID-19 vaccines.,Simulation Layer
Oil Price Crash (April 2020),Historic drop in oil demand drove WTI futures below zero for the first time.,Historical Layer
Federal Reserve QE Infinity,Unlimited quantitative-easing program to stabilize credit and MBS markets.,Systemic Reform Layer
ECB PEPP,ECB's Pandemic Emergency Purchase Programme worth €1.85 trillion.,Systemic Reform Layer
Paycheck Protection Program (PPP),U.S. forgivable loans aimed at keeping small-business payrolls intact.,Systemic Reform Layer
E-Commerce Surge,"Consumer spending pivoted sharply online, boosting digital retail revenues.",Cognitive-Agentic Layer
Global Chip Shortage (2020-21),Semiconductor supply crunch disrupting autos and electronics production.,Market Condition Layer
Inflation Spike (2021),Post-pandemic demand + supply bottlenecks pushed CPI to multi-decade highs.,Feedback Layer
Labor Shortage Trend,Record job openings and quits as economies reopened.,Market Condition Layer
Telehealth Adoption Boom,Regulatory waivers and consumer uptake drove telemedicine mainstream.,Cognitive-Agentic Layer
mRNA Vaccine Breakthrough,Successful deployment of Pfizer-BioNTech & Moderna vaccines in record time.,Simulation Layer
Yield Curve Inversion,Spread between 10Y and 2Y Treasuries flips negative.,Macro Layer
US Nominal GDP,US national GDP as reported by IMF.,Macro Layer
BTC Exchange Flow,Net flows of bitcoin in/out of exchanges (proxy for sentiment/hedging).,Digital Asset Layer
